# planck auto-dispatch per-bucket timing sweep
# host=(unset)
# omp_num_threads=(unset)
# compiler=15.2.0
# columns: molecule,basis,engine,L_AB,L_CD,count,total_ms,ms_per_quartet
molecule,basis,engine,L_AB,L_CD,count,total_ms,ms_per_quartet
helium,cc-pV5Z,hgp,1,6,2000,12.428,0.006214
helium,cc-pV5Z,rys,1,6,2000,113.286,0.056643
helium,cc-pV5Z,os,1,7,2000,42.195,0.0210975
helium,cc-pV5Z,hgp,1,7,2000,15.173,0.0075865
helium,cc-pV5Z,rys,1,7,2000,161.693,0.0808465
helium,cc-pV5Z,os,1,8,2000,59.99,0.029995
helium,cc-pV5Z,hgp,1,8,2000,18.735,0.0093675
helium,cc-pV5Z,rys,1,8,2000,165.183,0.0825915
helium,cc-pV5Z,os,2,0,2000,25.235,0.0126175
helium,cc-pV5Z,hgp,2,0,2000,27.454,0.013727
helium,cc-pV5Z,rys,2,0,2000,155.654,0.077827
helium,cc-pV5Z,os,2,1,2000,12.009,0.0060045
helium,cc-pV5Z,hgp,2,1,2000,11.09,0.005545
helium,cc-pV5Z,rys,2,1,2000,55.376,0.027688
helium,cc-pV5Z,os,2,2,2000,12.541,0.0062705
helium,cc-pV5Z,hgp,2,2,2000,9.587,0.0047935
helium,cc-pV5Z,rys,2,2,2000,91.486,0.045743
helium,cc-pV5Z,os,2,3,2000,15.705,0.0078525
helium,cc-pV5Z,hgp,2,3,2000,9.492,0.004746
helium,cc-pV5Z,rys,2,3,2000,77.192,0.038596
helium,cc-pV5Z,os,2,4,2000,20.895,0.0104475
helium,cc-pV5Z,hgp,2,4,2000,10.129,0.0050645
helium,cc-pV5Z,rys,2,4,2000,101.655,0.0508275
helium,cc-pV5Z,os,2,5,2000,26.441,0.0132205
helium,cc-pV5Z,hgp,2,5,2000,10.728,0.005364
helium,cc-pV5Z,rys,2,5,2000,84.326,0.042163
helium,cc-pV5Z,os,2,6,2000,39.621,0.0198105
helium,cc-pV5Z,hgp,2,6,2000,13.681,0.0068405
helium,cc-pV5Z,rys,2,6,2000,120.555,0.0602775
helium,cc-pV5Z,os,2,7,2000,59.098,0.029549
helium,cc-pV5Z,hgp,2,7,2000,17.801,0.0089005
helium,cc-pV5Z,rys,2,7,2000,125.078,0.062539
helium,cc-pV5Z,os,2,8,2000,82.746,0.041373
helium,cc-pV5Z,hgp,2,8,2000,22.495,0.0112475
helium,cc-pV5Z,rys,2,8,2000,173.944,0.086972
helium,cc-pV5Z,os,3,0,2000,28.029,0.0140145
helium,cc-pV5Z,hgp,3,0,2000,26.681,0.0133405
helium,cc-pV5Z,rys,3,0,2000,141.645,0.0708225
helium,cc-pV5Z,os,3,1,2000,13.374,0.006687
helium,cc-pV5Z,hgp,3,1,2000,10.375,0.0051875
helium,cc-pV5Z,rys,3,1,2000,101.94,0.05097
helium,cc-pV5Z,os,3,2,2000,15.66,0.00783
helium,cc-pV5Z,hgp,3,2,2000,9.503,0.0047515
helium,cc-pV5Z,rys,3,2,2000,76.745,0.0383725
helium,cc-pV5Z,os,3,3,2000,21.481,0.0107405
helium,cc-pV5Z,hgp,3,3,2000,10.16,0.00508
helium,cc-pV5Z,rys,3,3,2000,98.567,0.0492835
helium,cc-pV5Z,os,3,4,2000,30.209,0.0151045
helium,cc-pV5Z,hgp,3,4,2000,11.727,0.0058635
helium,cc-pV5Z,rys,3,4,2000,89.567,0.0447835
helium,cc-pV5Z,os,3,5,2000,38.199,0.0190995
helium,cc-pV5Z,hgp,3,5,2000,12.992,0.006496
helium,cc-pV5Z,rys,3,5,2000,101.417,0.0507085
helium,cc-pV5Z,os,3,6,2000,59.449,0.0297245
helium,cc-pV5Z,hgp,3,6,2000,17.431,0.0087155
helium,cc-pV5Z,rys,3,6,2000,106.035,0.0530175
helium,cc-pV5Z,os,3,7,2000,87.321,0.0436605
helium,cc-pV5Z,hgp,3,7,2000,23.321,0.0116605
helium,cc-pV5Z,rys,3,7,2000,148.864,0.074432
helium,cc-pV5Z,os,3,8,2000,120.981,0.0604905
helium,cc-pV5Z,hgp,3,8,2000,29.718,0.014859
helium,cc-pV5Z,rys,3,8,2000,155.038,0.077519
helium,cc-pV5Z,os,4,0,2000,28.64,0.01432
helium,cc-pV5Z,hgp,4,0,2000,22.956,0.011478
helium,cc-pV5Z,rys,4,0,2000,248.041,0.12402
helium,cc-pV5Z,os,4,1,2000,16.355,0.0081775
helium,cc-pV5Z,hgp,4,1,2000,10.266,0.005133
helium,cc-pV5Z,rys,4,1,2000,88.088,0.044044
helium,cc-pV5Z,os,4,2,2000,20.891,0.0104455
helium,cc-pV5Z,hgp,4,2,2000,10.191,0.0050955
helium,cc-pV5Z,rys,4,2,2000,101.533,0.0507665
helium,cc-pV5Z,os,4,3,2000,29.13,0.014565
helium,cc-pV5Z,hgp,4,3,2000,11.42,0.00571
helium,cc-pV5Z,rys,4,3,2000,85.032,0.042516
helium,cc-pV5Z,os,4,4,2000,40.024,0.020012
helium,cc-pV5Z,hgp,4,4,2000,13.463,0.0067315
helium,cc-pV5Z,rys,4,4,2000,104.861,0.0524305
helium,cc-pV5Z,os,4,5,2000,54.488,0.027244
helium,cc-pV5Z,hgp,4,5,2000,16.278,0.008139
helium,cc-pV5Z,rys,4,5,2000,91.049,0.0455245
helium,cc-pV5Z,os,4,6,2000,82.735,0.0413675
helium,cc-pV5Z,hgp,4,6,2000,22.285,0.0111425
helium,cc-pV5Z,rys,4,6,2000,128.534,0.064267
helium,cc-pV5Z,os,4,7,2000,122.622,0.061311
helium,cc-pV5Z,hgp,4,7,2000,30.49,0.015245
helium,cc-pV5Z,rys,4,7,2000,136.876,0.068438
helium,cc-pV5Z,os,4,8,2000,172.089,0.0860445
helium,cc-pV5Z,hgp,4,8,2000,40.196,0.020098
helium,cc-pV5Z,rys,4,8,2000,175.391,0.0876955
helium,cc-pV5Z,os,5,0,2000,33.461,0.0167305
helium,cc-pV5Z,hgp,5,0,2000,22.086,0.011043
helium,cc-pV5Z,rys,5,0,2000,215.15,0.107575
helium,cc-pV5Z,os,5,1,2000,20.438,0.010219
helium,cc-pV5Z,hgp,5,1,2000,10.476,0.005238
helium,cc-pV5Z,rys,5,1,2000,112.291,0.0561455
helium,cc-pV5Z,os,5,2,2000,26.933,0.0134665
helium,cc-pV5Z,hgp,5,2,2000,10.964,0.005482
helium,cc-pV5Z,rys,5,2,2000,86.633,0.0433165
helium,cc-pV5Z,os,5,3,2000,38.305,0.0191525
helium,cc-pV5Z,hgp,5,3,2000,12.966,0.006483
helium,cc-pV5Z,rys,5,3,2000,101.205,0.0506025
helium,cc-pV5Z,os,5,4,2000,56.288,0.028144
helium,cc-pV5Z,hgp,5,4,2000,16.651,0.0083255
helium,cc-pV5Z,rys,5,4,2000,91.548,0.045774
helium,cc-pV5Z,os,5,5,2000,71.83,0.035915
helium,cc-pV5Z,hgp,5,5,2000,19.925,0.0099625
helium,cc-pV5Z,rys,5,5,2000,106.81,0.053405
